修正原因,锚点年份,实际市场状态,日期数,股票预测数,噪声样本数,发生修正数,原始正确数,修正后正确数,修正净增正确数,原始错判为上涨数,修正后错判为上涨数,原始错判为下跌数,修正后错判为下跌数,平均预测上涨概率,平均实际5日涨跌幅,降噪后股票预测数,降噪后发生修正数,降噪后原始正确数,降噪后修正后正确数,降噪后修正净增正确数,原始准确率,修正后准确率,准确率变化百分点,降噪后原始准确率,降噪后修正后准确率,降噪后准确率变化百分点,修正覆盖率,降噪后修正覆盖率
恐慌释放且弱势延续，并且大中小盘20日趋势转弱，原始上涨改下跌,2026,强下跌,1,226,29,226,39,187,148,187,0,0,39,81.96%,-4.00%,197,197,25,172,147,17.26%,82.74%,65.49,12.69%,87.31%,74.62,100.00%,100.00%
指数20日趋势转弱且弱反弹，原始上涨改下跌,2025,普跌,1,209,59,209,85,124,39,124,0,0,85,48.68%,-0.58%,150,150,59,91,32,40.67%,59.33%,18.66,39.33%,60.67%,21.33,100.00%,100.00%
指数尚稳但中小盘转弱，原始上涨改下跌,2025,强下跌,1,197,64,197,53,144,91,144,0,0,53,46.85%,-1.37%,133,133,31,102,71,26.90%,73.10%,46.19,23.31%,76.69%,53.38,100.00%,100.00%
短线冲高且个股显著强于行业，原始上涨改下跌,2025,普跌,1,7,2,7,2,5,3,5,0,0,2,44.71%,-3.24%,5,5,2,3,1,28.57%,71.43%,42.86,40.00%,60.00%,20.0,100.00%,100.00%
趋势回调但行业相对强，原始下跌改上涨,2025,强上涨,1,5,0,5,0,5,5,0,0,5,0,22.06%,12.13%,5,5,0,5,5,0.00%,100.00%,100.0,0.00%,100.00%,100.0,100.00%,100.00%
趋势回调但行业相对强，原始下跌改上涨,2026,普涨,1,20,7,20,7,13,6,0,7,13,0,24.76%,2.42%,13,13,4,9,5,35.00%,65.00%,30.0,30.77%,69.23%,38.46,100.00%,100.00%
过热回落高且指数高位延伸，上涨概率<80%，原始上涨改下跌,2026,强下跌,1,200,9,200,24,176,152,176,0,0,24,58.75%,3.03%,191,191,19,172,153,12.00%,88.00%,76.0,9.95%,90.05%,80.1,100.00%,100.00%
高位强趋势且行业强，原始下跌改上涨,2026,强下跌,1,11,1,11,10,1,-9,0,10,1,0,29.20%,1.43%,10,10,10,0,-10,90.91%,9.09%,-81.82,100.00%,0.00%,-100.0,100.00%,100.00%
高位强趋势且行业强，原始下跌改上涨,2026,普涨,1,41,11,41,15,26,11,0,15,26,0,27.72%,1.72%,30,30,10,20,10,36.59%,63.41%,26.83,33.33%,66.67%,33.33,100.00%,100.00%
高位横盘分化且强势行业不足，原始上涨改下跌,2025,普跌,1,164,36,164,49,115,66,115,0,0,49,47.73%,-1.08%,128,128,36,92,56,29.88%,70.12%,40.24,28.12%,71.88%,43.75,100.00%,100.00%
