日期,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
2025-06-17,210,0,4,210,0,0.0,0.0,0.01904761904761905
2025-06-18,210,0,3,210,0,0.0,0.0,0.014285714285714285
2025-06-19,210,0,2,210,0,0.0,0.0,0.009523809523809525
2025-06-20,210,0,2,210,0,0.0,0.0,0.009523809523809525
2025-06-23,210,0,2,210,0,0.0,0.0,0.009523809523809525
2025-06-24,210,0,5,210,0,0.0,0.0,0.023809523809523808
2025-06-25,210,0,5,210,0,0.0,0.0,0.023809523809523808
2025-06-26,210,0,4,210,0,0.0,0.0,0.01904761904761905
2025-06-27,210,0,4,210,0,0.0,0.0,0.01904761904761905
2025-06-30,210,0,7,210,0,0.0,0.0,0.03333333333333333
2025-07-01,211,0,4,211,1,0.002321307669987426,0.0,0.018957345971563982
2025-07-02,211,0,3,211,1,0.002031144211238998,0.0,0.014218009478672985
2025-07-03,211,0,0,211,1,0.002031144211238998,0.0,0.0
2025-07-04,211,0,0,211,1,0.0019344230583228552,0.0,0.0
2025-07-07,211,0,1,211,0,0.0015475384466582841,0.0,0.004739336492890996
2025-07-08,211,0,2,211,0,0.0010639326820775703,0.0,0.009478672985781991
2025-07-09,211,0,1,211,0,0.0010639326820775703,0.0,0.004739336492890996
2025-07-10,211,0,2,211,0,0.0010639326820775703,0.0,0.009478672985781991
2025-07-11,211,0,0,211,0,0.0010639326820775703,0.0,0.0
2025-07-14,211,0,6,211,0,0.0006770480704129993,0.0,0.02843601895734597
2025-07-15,211,0,2,211,0,0.0004836057645807138,0.0,0.009478672985781991
2025-07-16,211,0,5,211,0,0.0004836057645807138,0.0,0.023696682464454975
2025-07-17,211,0,4,211,0,0.0004836057645807138,0.0,0.018957345971563982
2025-07-18,211,0,3,211,0,0.0004836057645807138,0.0,0.014218009478672985
2025-07-21,211,0,4,211,0,0.0005803269174968565,0.0,0.018957345971563982
2025-07-22,210,0,3,210,0,0.0005830903790087463,0.0,0.014285714285714285
2025-07-23,210,0,4,210,0,0.0005830903790087463,0.0,0.01904761904761905
2025-07-24,210,0,5,210,0,0.0005830903790087463,0.0,0.023809523809523808
2025-07-25,210,0,5,210,0,0.0004859086491739553,0.0,0.023809523809523808
2025-07-28,210,0,5,210,0,9.718172983479105e-05,0.0,0.023809523809523808
2025-07-29,211,0,4,211,0,0.0,0.0,0.018957345971563982
2025-07-30,211,0,1,211,0,0.0,0.0,0.004739336492890996
2025-07-31,212,0,9,212,1,0.0023103581055063534,0.0,0.04245283018867924
2025-08-01,212,0,2,212,1,0.002117828263380824,0.0,0.009433962264150943
2025-08-04,212,0,5,212,1,0.002117828263380824,0.0,0.02358490566037736
2025-08-05,212,0,5,212,1,0.0020215633423180594,0.0,0.02358490566037736
2025-08-06,212,0,4,212,0,0.0016365036580670003,0.0,0.018867924528301886
2025-08-07,212,0,2,212,0,0.001058914131690412,0.0,0.009433962264150943
2025-08-08,213,0,3,213,1,0.0034492670307559644,0.0,0.014084507042253521
2025-08-11,213,0,6,213,1,0.0030660151384497457,0.0,0.028169014084507043
2025-08-12,213,0,2,213,1,0.0030660151384497457,0.0,0.009389671361502348
2025-08-13,213,0,2,213,1,0.002586950273066973,0.0,0.009389671361502348
2025-08-14,214,0,3,214,1,0.004291436200648483,0.0,0.014018691588785047
2025-08-15,214,0,3,214,1,0.0035285142094220864,0.0,0.014018691588785047
2025-08-18,214,0,6,214,1,0.0035285142094220864,0.0,0.028037383177570093
2025-08-19,214,0,3,214,1,0.0035285142094220864,0.0,0.014018691588785047
2025-08-20,215,0,7,215,1,0.005315614617940199,0.0,0.03255813953488372
2025-08-21,215,0,4,215,1,0.0041765543426673,0.0,0.018604651162790697
2025-08-22,215,0,6,215,1,0.003986710963455149,0.0,0.027906976744186046
2025-08-25,215,0,8,215,1,0.00398671096345515,0.0,0.037209302325581395
2025-08-26,215,0,3,215,0,0.0035121025154247745,0.0,0.013953488372093023
2025-08-27,215,0,3,215,0,0.0022781205505457997,0.0,0.013953488372093023
2025-08-28,216,0,6,216,1,0.004346182917611489,0.0,0.027777777777777776
2025-08-29,216,0,11,216,1,0.004062736205593349,0.0,0.05092592592592592
2025-09-01,216,0,6,216,1,0.003968253968253968,0.0,0.027777777777777776
2025-09-02,216,0,4,216,1,0.003495842781557067,0.0,0.018518518518518517
2025-09-03,216,0,6,216,0,0.002928949357520786,0.0,0.027777777777777776
2025-09-04,216,0,6,216,0,0.0020786092214663643,0.0,0.027777777777777776
2025-09-05,216,0,11,216,0,0.0020786092214663643,0.0,0.05092592592592592
2025-09-08,216,0,7,216,0,0.0020786092214663643,0.0,0.032407407407407406
2025-09-09,216,0,3,216,0,0.0019841269841269845,0.0,0.013888888888888888
2025-09-10,216,0,3,216,0,0.0012282690854119424,0.0,0.013888888888888888
2025-09-11,216,0,4,216,0,0.000944822373393802,0.0,0.018518518518518517
2025-09-12,216,0,4,216,0,0.000944822373393802,0.0,0.018518518518518517
2025-09-15,216,0,2,216,0,0.0010393046107331821,0.0,0.009259259259259259
2025-09-16,216,0,4,216,0,0.0005668934240362812,0.0,0.018518518518518517
2025-09-17,215,0,4,215,0,0.0005695301376364499,0.0,0.018604651162790697
2025-09-18,215,0,4,215,0,0.0006644518272425248,0.0,0.018604651162790697
2025-09-19,215,0,6,215,0,0.00047460844803037496,0.0,0.027906976744186046
2025-09-22,215,0,8,215,0,0.0005695301376364499,0.0,0.037209302325581395
2025-09-23,215,0,7,215,0,0.0005695301376364499,0.0,0.03255813953488372
2025-09-24,215,0,6,215,0,9.492168960607498e-05,0.0,0.027906976744186046
2025-09-25,215,0,3,215,0,0.0,0.0,0.013953488372093023
2025-09-26,215,0,4,215,0,0.0,0.0,0.018604651162790697
2025-09-29,215,0,3,215,0,0.0,0.0,0.013953488372093023
2025-09-30,216,0,4,216,0,9.448223733938019e-05,0.0,0.018518518518518517
2025-10-09,216,0,15,216,0,0.0,0.0,0.06944444444444445
2025-10-10,216,0,4,216,0,0.0,0.0,0.018518518518518517
2025-10-13,216,0,6,216,0,0.0,0.0,0.027777777777777776
2025-10-14,216,0,0,216,0,0.0,0.0,0.0
2025-10-15,216,0,5,216,0,0.0,0.0,0.023148148148148147
2025-10-16,216,0,1,216,0,0.0,0.0,0.004629629629629629
2025-10-17,216,0,4,216,0,0.0,0.0,0.018518518518518517
2025-10-20,215,0,7,215,0,9.492168960607498e-05,0.0,0.03255813953488372
2025-10-21,215,0,3,215,0,0.0,0.0,0.013953488372093023
2025-10-22,215,0,3,215,0,0.0,0.0,0.013953488372093023
2025-10-23,215,0,1,215,0,0.0,0.0,0.004651162790697674
2025-10-24,215,0,2,215,0,0.0,0.0,0.009302325581395349
2025-10-27,215,0,1,215,0,0.0,0.0,0.004651162790697674
2025-10-28,215,0,5,215,0,0.0,0.0,0.023255813953488372
2025-10-29,215,0,2,215,0,0.0,0.0,0.009302325581395349
2025-10-30,215,0,4,215,0,0.0,0.0,0.018604651162790697
2025-10-31,215,0,4,215,0,0.0,0.0,0.018604651162790697
2025-11-03,216,0,3,216,0,9.448223733938019e-05,0.0,0.013888888888888888
2025-11-04,216,0,3,216,0,0.0,0.0,0.013888888888888888
2025-11-05,216,0,5,216,0,0.0,0.0,0.023148148148148147
2025-11-06,216,0,8,216,1,0.0022675736961451248,0.0,0.037037037037037035
2025-11-07,217,0,6,217,2,0.0042321075895796105,0.0,0.027649769585253458
2025-11-10,217,0,4,217,2,0.003949967083607636,0.0,0.018433179723502304
2025-11-11,217,0,2,217,2,0.0038559202482836455,0.0,0.009216589861751152
2025-11-12,217,0,5,217,1,0.003385686071663688,0.0,0.02304147465437788
2025-11-13,217,0,6,217,0,0.0025392645537477662,0.0,0.027649769585253458
2025-11-14,217,0,4,217,0,0.00206903037712781,0.0,0.018433179723502304
2025-11-17,217,0,3,217,0,0.0021630772124518007,0.0,0.013824884792626729
2025-11-18,217,0,5,217,0,0.00206903037712781,0.0,0.02304147465437788
2025-11-19,218,0,2,218,0,0.0017786931286275977,0.0,0.009174311926605505
2025-11-20,217,0,6,217,0,0.0012226088592118874,0.0,0.027649769585253458
2025-11-21,217,0,8,217,0,0.001034515188563905,0.0,0.03686635944700461
2025-11-24,217,0,6,217,0,0.0009404683532399135,0.0,0.027649769585253458
2025-11-25,217,0,6,217,0,0.0009404683532399135,0.0,0.027649769585253458
2025-11-26,217,0,1,217,0,0.0009404683532399135,0.0,0.004608294930875576
2025-11-27,217,0,1,217,0,0.0009404683532399135,0.0,0.004608294930875576
2025-11-28,217,0,5,217,0,0.0009404683532399135,0.0,0.02304147465437788
2025-12-01,217,0,3,217,0,0.0009404683532399135,0.0,0.013824884792626729
