特征,入选次数,平均相关性绝对值,平均方向一致率
当日涨跌幅75分位,14,0.05450854185876922,1.0
连续下跌天数,14,0.05172290160842858,1.0
当日大跌比例_3pct_近3日斜率,14,0.050383985803181076,1.0
市场宽度价格背离,14,0.04334591498359397,1.0
当日强涨比例_5pct_近10日标准差,13,0.20904390854323265,1.0
当日成交额标准差,13,0.16355485712954543,1.0
volatility_10_均值,13,0.15603707511926615,1.0
当日平均振幅_近10日均值,13,0.15005392595305486,1.0
中证1000强于沪深300_5日,13,0.1436419374559072,1.0
当日平均换手率,13,0.13361859540487828,1.0
当日强涨比例_5pct_近5日变化,13,0.13332959524003044,1.0
当日平均成交量_近5日均值,13,0.13300423659880178,1.0
当日平均涨跌幅_近20日最低,13,0.13102484915115414,1.0
中证500强于沪深300_5日_近3日标准差,13,0.11969568228254754,1.0
行业强涨比例_1pct_近10日均值,13,0.1113532623253828,1.0
沪深300_5日涨跌幅_均值_近10日标准差,13,0.10427313966635426,1.0
行业强涨比例_1pct_近3日标准差,13,0.0935248793757945,1.0
极端涨跌差,13,0.09102074752426104,1.0
行业强涨比例_1pct_近5日均值,13,0.09077119691949788,1.0
中证1000强于沪深300_5日_近3日标准差,13,0.0897798348271753,1.0
极端涨跌差_近5日变化,13,0.08706548239776155,1.0
当日平均振幅,13,0.08698125825850024,1.0
当日平均成交额_近5日标准差,13,0.08295270944848004,1.0
行业涨跌分化度_近5日标准差,13,0.07639765277582852,1.0
amount_ratio_5_均值,13,0.0729988608629086,1.0
当日平均成交量_近3日斜率,13,0.06876222209826299,1.0
涨跌扩散差_近3日斜率,13,0.05829678784529851,1.0
当日涨跌幅标准差,13,0.050633805787811834,1.0
中证1000_5日涨跌幅_均值_近5日标准差,12,0.19277814690109066,1.0
ret_20_均值,12,0.16213604199346887,1.0
当日上涨比例_近10日最高,12,0.14765072045242508,1.0
当日上涨比例_近20日最低,12,0.13719010952596863,1.0
当日平均涨跌幅_近3日标准差,12,0.12746862246998505,1.0
当日平均成交量_近3日均值,12,0.11674866844802573,1.0
中证1000强于沪深300_5日_近5日标准差,12,0.09315823889813396,1.0
当日强跌比例_5pct_近3日均值,12,0.08255109299704481,1.0
当日大涨比例_3pct_近5日变化,12,0.06990603412395091,1.0
vol_ratio_5_均值,12,0.06844550632915206,1.0
下跌行业比例_近5日变化,12,0.06773927342202334,1.0
当日涨跌幅标准差_近3日斜率,12,0.06115022799545966,1.0
全市场平均涨跌幅_均值,12,0.0560639033038991,1.0
当日平均涨跌幅,12,0.0560639033038991,1.0
行业平均涨跌幅_均值,12,0.0560639033038991,1.0
上涨行业比例_近3日均值,12,0.0545195541129453,1.0
当日强跌比例_5pct,12,0.046477595923444824,1.0
volatility_5_均值,11,0.1815413239502888,1.0
当日涨跌幅标准差_近10日均值,11,0.1551792576958285,1.0
当日平均换手率_近10日标准差,11,0.15027802667537118,1.0
当日上涨比例_近3日标准差,11,0.10819759429381004,1.0
下跌行业比例_近3日标准差,11,0.1048680069995762,1.0
上涨行业比例_近3日标准差,11,0.10037701566431614,1.0
当日接近涨停比例,11,0.09725002794721636,1.0
当日平均成交量_近3日标准差,11,0.09332795833345987,1.0
当日上涨比例_近10日均值,11,0.09080210774721492,1.0
当日平均换手率_近5日变化,11,0.08757446971777037,1.0
中证500强于沪深300_5日,11,0.08651817257834518,1.0
上涨行业比例_近10日均值,11,0.07531983779302816,1.0
上涨行业比例_近5日变化,11,0.06951015336029825,1.0
当日平均换手率_近3日斜率,11,0.06884318062808527,1.0
当日强涨比例_5pct_近3日斜率,11,0.06698227923115915,1.0
涨跌扩散差_近5日变化,11,0.061547671467591436,1.0
行业平均涨跌幅中位数,11,0.05481553090119946,1.0
当日涨跌幅中位数,11,0.04981017376114216,1.0
当日上涨比例_近10日位置,11,0.03887702358056112,1.0
恐慌释放特征,11,0.036983247461356714,1.0
极端涨跌差_近3日斜率,11,0.029912086307293872,1.0
行业强跌比例_1pct_近10日标准差,10,0.18647990975390175,1.0
沪深300_5日涨跌幅_均值_近10日均值,10,0.1817536714881856,1.0
行业强跌比例_1pct_近5日标准差,10,0.17816355507773815,1.0
当日上涨比例_近10日标准差,10,0.1686837438644309,1.0
上涨行业比例_近10日标准差,10,0.1507971402144763,1.0
下跌行业比例_近10日标准差,10,0.1474826681398324,1.0
行业强涨比例_1pct_近5日标准差,10,0.14705036669518365,1.0
当日涨跌幅标准差_近3日均值,10,0.09901991894841251,1.0
上证指数_5日涨跌幅_均值,10,0.08766318288582899,1.0
当日平均成交额_近3日斜率,10,0.07966511782310029,1.0
当日上涨比例_近5日位置,10,0.07748578652623375,1.0
下跌行业比例_近10日均值,10,0.06892196859709847,1.0
当日平均涨跌幅_近5日位置,10,0.06685591800563921,1.0
当日上涨比例_近3日均值,10,0.05170571069936149,1.0
当日大涨比例_3pct_近3日斜率,10,0.039435135303515625,1.0
当日强涨比例_5pct_近5日标准差,9,0.15050211917937426,1.0
当日上涨比例_近5日标准差,9,0.14705952367562236,1.0
个股强于中证500_5日相对强弱_均值,9,0.14689123472700472,1.0
小盘强于中盘_5日_近3日均值,9,0.13522177299252958,1.0
行业涨跌分化度_近10日标准差,9,0.13292334619625495,1.0
行业强涨比例_1pct_近10日标准差,9,0.12685537797033494,1.0
小盘强于中盘_5日_近5日均值,9,0.12156218914948815,1.0
中证1000强于沪深300_5日_近3日均值,9,0.11888976614845219,1.0
当日涨跌幅标准差_近5日标准差,9,0.10956142114424096,1.0
中证500强于沪深300_5日_近10日均值,9,0.10272691406399556,1.0
当日成交额中位数,9,0.09441262154913461,1.0
沪深300_5日涨跌幅_均值_近5日变化,9,0.07581738039338047,1.0
当日平均振幅_近5日变化,9,0.06621843401092398,1.0
当日平均成交额_近3日标准差,9,0.06305226004763481,1.0
上涨行业比例_近5日均值,9,0.06113157909513773,1.0
涨跌扩散差_近3日均值,9,0.05921696923007813,1.0
下跌行业比例_近5日均值,9,0.0559230543263429,1.0
行业强跌比例_1pct_近3日斜率,9,0.04585848399194675,1.0
当日强跌比例_5pct_近5日变化,9,0.03546591906313619,1.0
当日强跌比例_5pct_近3日斜率,9,0.027707694803552667,1.0
当日大涨比例_3pct_近5日均值,8,0.2024567263705679,1.0
下跌行业比例_近5日标准差,8,0.1689858235268825,1.0
上涨行业比例_近5日标准差,8,0.1571697153967941,1.0
当日强涨比例_5pct_近10日均值,8,0.15399760580770505,1.0
极端涨跌差_近5日均值,8,0.1236166095337648,1.0
中证500_5日涨跌幅_均值_近5日均值,8,0.10039839631717053,1.0
涨跌扩散差_近5日均值,8,0.0771675714089124,1.0
连续上涨天数,8,0.07271420453995182,1.0
极端涨跌差_近3日标准差,8,0.06808270144173004,1.0
行业强涨比例_1pct_近5日变化,8,0.06340547737700576,1.0
下跌行业比例_近3日均值,8,0.061701042761475144,1.0
下跌行业比例,8,0.05994396568914601,1.0
当日下跌比例,8,0.05456157294000413,1.0
全市场上涨比例_均值,8,0.05258649468186112,1.0
当日上涨比例,8,0.05258649468186112,1.0
行业上涨比例_均值,8,0.05258649468186112,1.0
当日上涨比例_近5日均值,8,0.052558190696610135,1.0
当日平均振幅_近3日斜率,8,0.04742095975863239,1.0
行业强涨比例_1pct,8,0.04524893637156394,1.0
行业涨跌分化度_近3日斜率,8,0.0449605833394174,1.0
当日上涨比例_近20日最高,7,0.3110344516645499,1.0
当日平均涨跌幅_近20日最高,7,0.2924596901066993,1.0
当日大涨比例_3pct_近10日均值,7,0.2449522184483442,1.0
当日大涨比例_3pct_近5日标准差,7,0.22169309926319078,1.0
当日平均涨跌幅_近10日最高,7,0.2078828458762994,1.0
当日大涨比例_3pct_近10日标准差,7,0.17370899809145718,1.0
amp_mean_10_均值,7,0.17034798310620153,1.0
当日成交量中位数,7,0.14952613065680898,1.0
中证500强于沪深300_5日_近10日标准差,7,0.14921172123752227,1.0
当日平均涨跌幅_近10日均值,7,0.12931294793012807,1.0
中证500强于沪深300_5日_近5日均值,7,0.09285050911194632,1.0
过热回落风险特征,7,0.08864769230296513,1.0
当日平均涨跌幅_近5日均值,7,0.07262054602734734,1.0
中证1000_5日涨跌幅_均值,7,0.06933727653099621,1.0
当日平均涨跌幅_近3日斜率,7,0.05373429682358246,1.0
个股强于中证1000_5日相对强弱_均值,7,0.050127032325258676,1.0
行业涨跌分化度_近5日变化,7,0.04146801307382602,1.0
当日涨跌幅偏度,7,0.03428732526568822,1.0
股票数量,6,0.21602522964640467,1.0
当日平均涨跌幅_近10日标准差,6,0.18658717030186336,1.0
涨跌扩散差_近10日标准差,6,0.16255066123228162,1.0
中证500_5日涨跌幅_均值_近10日均值,6,0.1295597683165308,1.0
当日平均涨跌幅_近5日标准差,6,0.12346231484801538,1.0
当日平均涨跌幅_近5日最高,6,0.12084266454658217,1.0
vol_ratio_10_均值,6,0.09436603563495476,1.0
行业强跌比例_1pct_近5日均值,6,0.09165224174991554,1.0
当日平均涨跌幅_近10日位置,6,0.08807944449993542,1.0
行业强跌比例_1pct_近3日标准差,6,0.08557741066583656,1.0
中证1000强于沪深300_5日_近10日均值,6,0.07998561535946766,1.0
连续弱势天数,6,0.07884861586945743,1.0
当日涨跌幅25分位,6,0.07727866189959556,1.0
上涨行业比例,6,0.06437537943029531,1.0
当日大跌比例_3pct_近3日均值,6,0.061697020485922245,1.0
当日大跌比例_3pct,6,0.05123102785060555,1.0
下跌行业比例_近3日斜率,6,0.030980979301539535,1.0
上涨行业比例_近3日斜率,6,0.029343782072202406,1.0
当日平均涨跌幅_近10日最低,5,0.12428158118396437,1.0
当日平均涨跌幅_近5日变化,5,0.12209634758639147,1.0
行业强跌比例_1pct_近3日均值,5,0.1082054584335382,1.0
当日强涨比例_5pct_近3日标准差,5,0.10756133745107459,1.0
当日平均换手率_近3日均值,5,0.09566672046692162,1.0
中证500强于沪深300_5日_近3日均值,5,0.08007256008418479,1.0
当日上涨比例_近20日位置,5,0.07767918936842477,1.0
当日上涨比例_近5日变化,5,0.06472212747631087,1.0
当日平均涨跌幅_近3日均值,5,0.05425993715772871,1.0
行业强涨比例_1pct_近3日斜率,5,0.03327097532956188,1.0
当日大跌比例_3pct_近10日均值,4,0.16364346431450053,1.0
中证500强于沪深300_5日_近5日标准差,4,0.11979783127847395,1.0
当日平均换手率_近5日均值,4,0.09334163350941926,1.0
行业强跌比例_1pct,4,0.09234582697067092,1.0
行业强跌比例_1pct_近5日变化,4,0.08784312472820872,1.0
沪深300_5日涨跌幅_均值_近5日均值,4,0.08069952521896004,1.0
range_pos_20_均值,4,0.08058890068428806,1.0
中证500_5日涨跌幅_均值,4,0.0743251077131236,1.0
ret_3_均值,4,0.07334072441296398,1.0
当日大跌比例_3pct_近3日标准差,4,0.06831760523343616,1.0
当日平均涨跌幅_近20日位置,4,0.06720057655356085,1.0
当日大跌比例_3pct_近5日变化,4,0.05954396739050241,1.0
当日强跌比例_5pct_近3日标准差,4,0.056949675124215435,1.0
沪深300_5日涨跌幅_均值_近3日均值,4,0.05334134768507734,1.0
当日强涨比例_5pct_近5日均值,3,0.19456177972851862,1.0
极端涨跌差_近10日标准差,3,0.14349270696665203,1.0
极端涨跌差_近10日均值,3,0.12929705262207772,1.0
行业强跌比例_1pct_近10日均值,3,0.11869529439538128,1.0
涨跌扩散差_近10日均值,3,0.11667826663557956,1.0
行业涨跌分化度_近10日均值,3,0.11392163266184098,1.0
ret_10_均值,3,0.10086580480576501,1.0
涨跌扩散差_近3日标准差,3,0.09138538266592726,1.0
当日平均成交额_近5日变化,3,0.0894283770978448,1.0
当日平均成交额_近10日标准差,3,0.08930697713851536,1.0
当日平均成交量_近5日变化,3,0.0851625850317546,1.0
amount_ratio_10_均值,3,0.0827880011734834,1.0
当日平均振幅_近5日标准差,3,0.08116905296179454,1.0
当日强跌比例_5pct_近5日均值,3,0.07170128676029922,1.0
ret_5_均值,3,0.06646027251114035,1.0
中证1000强于沪深300_5日_近5日均值,3,0.062329463849625955,1.0
沪深300_5日涨跌幅_均值,3,0.05989263813411383,1.0
当日平均振幅_近3日均值,3,0.04958709924146066,1.0
当日上涨比例_近3日斜率,3,0.03402497112863394,1.0
当日涨跌幅标准差_近10日标准差,2,0.2092159041855794,1.0
中证1000_5日涨跌幅_均值_近10日标准差,2,0.18009416066460754,1.0
当日大跌比例_3pct_近10日标准差,2,0.1531138667100864,1.0
极端涨跌差_近5日标准差,2,0.12445060974038799,1.0
涨跌扩散差_近5日标准差,2,0.11386394985533828,1.0
当日平均成交量_近10日标准差,2,0.11151256751103651,1.0
中证1000_5日涨跌幅_均值_近5日均值,2,0.0680744196933123,1.0
中证500_5日涨跌幅_均值_近3日均值,2,0.06414082832829779,1.0
当日平均振幅_近5日均值,2,0.051758918471068165,1.0
当日上涨比例_近10日最低,1,0.0870926554575867,1.0
当日强跌比例_5pct_近10日均值,1,0.07739391440528871,1.0
当日平均振幅_近3日标准差,1,0.0770437514351684,1.0
中证1000_5日涨跌幅_均值_近10日均值,1,0.07441800401852205,1.0
amp_mean_5_均值,1,0.06109360812325466,1.0
中证1000_5日涨跌幅_均值_近3日均值,1,0.047199981067253205,1.0
当日大跌比例_3pct_近5日均值,1,0.044956639624326465,1.0
