代码,名称,交易所,板块,行业
002380,科远智慧,深交所,深市主板,IT服务Ⅱ
002396,星网锐捷,深交所,深市主板,通信设备
002402,和而泰,深交所,深市主板,家电零部件Ⅱ
002407,多氟多,深交所,深市主板,化学制品
002415,海康威视,深交所,深市主板,计算机设备
002422,科伦药业,深交所,深市主板,化学制药
002430,杭氧股份,深交所,深市主板,化学制品
002436,兴森科技,深交所,深市主板,元件
002444,巨星科技,深交所,深市主板,通用设备
002552,宝鼎科技,深交所,深市主板,元件
002558,巨人网络,深交所,深市主板,游戏Ⅱ
002580,圣阳股份,深交所,深市主板,电池
002655,共达电声,深交所,深市主板,消费电子
002730,电光科技,深交所,深市主板,专用设备
002757,南兴股份,深交所,深市主板,专用设备
002759,天际股份,深交所,深市主板,电池
002801,微光股份,深交所,深市主板,电机Ⅱ
002827,高争民爆,深交所,深市主板,化学制品
002838,道恩股份,深交所,深市主板,塑料
002841,视源股份,深交所,深市主板,消费电子
002842,翔鹭钨业,深交所,深市主板,小金属
002864,盘龙药业,深交所,深市主板,中药Ⅱ
002891,中宠股份,深交所,深市主板,饲料
002895,川恒股份,深交所,深市主板,农化制品
002899,英派斯,深交所,深市主板,文娱用品
002902,铭普光磁,深交所,深市主板,通信设备
002906,华阳集团,深交所,深市主板,汽车零部件
002921,联诚精密,深交所,深市主板,汽车零部件
002933,新兴装备,深交所,深市主板,航空装备Ⅱ
002937,兴瑞科技,深交所,深市主板,汽车零部件
002940,昂利康,深交所,深市主板,化学制药
002956,西麦食品,深交所,深市主板,休闲食品
002965,祥鑫科技,深交所,深市主板,汽车零部件
002971,和远气体,深交所,深市主板,化学制品
002976,瑞玛精密,深交所,深市主板,汽车零部件
002977,*ST天箭,深交所,深市主板,军工电子Ⅱ
002978,安宁股份,深交所,深市主板,小金属
002985,北摩高科,深交所,深市主板,航空装备Ⅱ
002988,豪美新材,深交所,深市主板,工业金属
002989,中天精装,深交所,深市主板,装修装饰Ⅱ
002997,瑞鹄模具,深交所,深市主板,汽车零部件
003017,大洋生物,深交所,深市主板,化学原料
003019,宸展光电,深交所,深市主板,光学光电子
003023,彩虹集团,深交所,深市主板,小家电
600036,招商银行,上交所,沪市主板,银行Ⅱ
600038,中直股份,上交所,沪市主板,航空装备Ⅱ
600066,宇通客车,上交所,沪市主板,商用车
600096,云天化,上交所,沪市主板,农化制品
600114,东睦股份,上交所,沪市主板,通用设备
600141,兴发集团,上交所,沪市主板,农化制品
600160,巨化股份,上交所,沪市主板,化学制品
600171,上海贝岭,上交所,沪市主板,半导体
600176,中国巨石,上交所,沪市主板,玻璃玻纤
600206,有研新材,上交所,沪市主板,半导体
600298,安琪酵母,上交所,沪市主板,调味发酵品Ⅱ
600316,洪都航空,上交所,沪市主板,航空装备Ⅱ
600323,瀚蓝环境,上交所,沪市主板,环境治理
600330,天通股份,上交所,沪市主板,电子化学品Ⅱ
600378,昊华科技,上交所,沪市主板,化学制品
600426,华鲁恒升,上交所,沪市主板,农化制品
600456,宝钛股份,上交所,沪市主板,小金属
600460,士兰微,上交所,沪市主板,半导体
600520,三佳科技,上交所,沪市主板,专用设备
600547,山东黄金,上交所,沪市主板,贵金属
600593,大连圣亚,上交所,沪市主板,旅游及景区
600605,汇通能源,上交所,沪市主板,一般零售
600612,老凤祥,上交所,沪市主板,饰品
600673,东阳光,上交所,沪市主板,综合Ⅱ
600685,中船防务,上交所,沪市主板,航海装备Ⅱ
600699,均胜电子,上交所,沪市主板,汽车零部件
600779,水井坊,上交所,沪市主板,白酒Ⅱ
600885,宏发股份,上交所,沪市主板,电网设备
600895,张江高科,上交所,沪市主板,房地产开发
600938,中国海油,上交所,沪市主板,油气开采Ⅱ
600976,健民集团,上交所,沪市主板,中药Ⅱ
601069,西部黄金,上交所,沪市主板,贵金属
601168,西部矿业,上交所,沪市主板,工业金属
601601,中国太保,上交所,沪市主板,保险Ⅱ
601606,长城军工,上交所,沪市主板,地面兵装Ⅱ
601628,中国人寿,上交所,沪市主板,保险Ⅱ
601698,中国卫通,上交所,沪市主板,航天装备Ⅱ
601877,正泰电器,上交所,沪市主板,电网设备
601899,紫金矿业,上交所,沪市主板,工业金属
601995,中金公司,上交所,沪市主板,证券Ⅱ
603005,晶方科技,上交所,沪市主板,半导体
603014,威高血净,上交所,沪市主板,医疗器械
603059,倍加洁,上交所,沪市主板,个护用品
603068,博通集成,上交所,沪市主板,半导体
603072,天和磁材,上交所,沪市主板,金属新材料
603082,北自科技,上交所,沪市主板,自动化设备
603099,长白山,上交所,沪市主板,旅游及景区
603127,昭衍新药,上交所,沪市主板,医疗服务
603173,福斯达,上交所,沪市主板,专用设备
603194,中力股份,上交所,沪市主板,工程机械
603197,保隆科技,上交所,沪市主板,汽车零部件
603198,迎驾贡酒,上交所,沪市主板,白酒Ⅱ
603199,九华旅游,上交所,沪市主板,旅游及景区
603211,晋拓股份,上交所,沪市主板,汽车零部件
603216,梦天家居,上交所,沪市主板,家居用品
603220,中贝通信,上交所,沪市主板,通信服务
603255,鼎际得,上交所,沪市主板,化学制品
603261,*ST立航,上交所,沪市主板,航空装备Ⅱ
603272,*ST联翔,上交所,沪市主板,家居用品
603280,南方路机,上交所,沪市主板,工程机械
603281,江瀚新材,上交所,沪市主板,化学制品
603288,海天味业,上交所,沪市主板,调味发酵品Ⅱ
603312,西典新能,上交所,沪市主板,电网设备
603319,美湖股份,上交所,沪市主板,汽车零部件
603322,超讯通信,上交所,沪市主板,通信服务
603350,安乃达,上交所,沪市主板,电机Ⅱ
603352,至信股份,上交所,沪市主板,汽车零部件
603355,莱克电气,上交所,沪市主板,小家电
603358,华达科技,上交所,沪市主板,汽车零部件
603376,大明电子,上交所,沪市主板,汽车零部件
603380,易德龙,上交所,沪市主板,消费电子
603383,顶点软件,上交所,沪市主板,软件开发
603396,金辰股份,上交所,沪市主板,光伏设备
603406,天富龙,上交所,沪市主板,化学纤维
603489,八方股份,上交所,沪市主板,电机Ⅱ
603496,恒为科技,上交所,沪市主板,计算机设备
603556,海兴电力,上交所,沪市主板,电网设备
603590,康辰药业,上交所,沪市主板,生物制品
603596,伯特利,上交所,沪市主板,汽车零部件
603618,杭电股份,上交所,沪市主板,电网设备
603657,春光科技,上交所,沪市主板,家电零部件Ⅱ
603658,安图生物,上交所,沪市主板,医疗器械
603659,璞泰来,上交所,沪市主板,电池
603665,康隆达,上交所,沪市主板,服装家纺
603666,亿嘉和,上交所,沪市主板,自动化设备
603678,火炬电子,上交所,沪市主板,军工电子Ⅱ
603685,晨丰科技,上交所,沪市主板,光学光电子
603722,阿科力,上交所,沪市主板,化学制品
603813,*ST原尚,上交所,沪市主板,物流
603816,顾家家居,上交所,沪市主板,家居用品
603826,坤彩科技,上交所,沪市主板,非金属材料Ⅱ
603860,中公高科,上交所,沪市主板,工程咨询服务Ⅱ
603867,新化股份,上交所,沪市主板,化学制品
603868,飞科电器,上交所,沪市主板,小家电
603895,天永智能,上交所,沪市主板,专用设备
603978,深圳新星,上交所,沪市主板,金属新材料
603992,松霖科技,上交所,沪市主板,家居用品
605058,澳弘电子,上交所,沪市主板,元件
605086,龙高股份,上交所,沪市主板,非金属材料Ⅱ
605088,冠盛股份,上交所,沪市主板,汽车零部件
605128,上海沿浦,上交所,沪市主板,汽车零部件
605133,嵘泰股份,上交所,沪市主板,汽车零部件
605258,协和电子,上交所,沪市主板,元件
605488,福莱新材,上交所,沪市主板,塑料
605566,福莱蒽特,上交所,沪市主板,化学制品
920003,中诚咨询,北交所,北交所,工程咨询服务Ⅱ
920005,鼎佳精密,北交所,北交所,消费电子
920018,宏远股份,北交所,北交所,电网设备
920026,卓兆点胶,北交所,北交所,专用设备
920035,精创电气,北交所,北交所,自动化设备
920046,亿能电力,北交所,北交所,电网设备
920047,诺思兰德,北交所,北交所,生物制品
920050,爱舍伦,北交所,北交所,医疗器械
920055,隆源股份,北交所,北交所,汽车零部件
920060,万源通,北交所,北交所,元件
920078,族兴新材,北交所,北交所,金属新材料
920086,科马材料,北交所,北交所,汽车零部件
920092,汉鑫科技,北交所,北交所,IT服务Ⅱ
920101,志高机械,北交所,北交所,工程机械
920110,雷特科技,北交所,北交所,其他电源设备Ⅱ
920111,聚星科技,北交所,北交所,电网设备
920112,巴兰仕,北交所,北交所,专用设备
920121,江天科技,北交所,北交所,包装印刷
920177,恒道科技,北交所,北交所,通用设备
920187,通领科技,北交所,北交所,汽车零部件
920199,倍益康,北交所,北交所,小家电
920239,长虹能源,北交所,北交所,电池
920284,灵鸽科技,北交所,北交所,专用设备
920396,常辅股份,北交所,北交所,自动化设备
920509,同惠电子,北交所,北交所,通用设备
920570,坤博精工,北交所,北交所,通用设备
920592,华信永道,北交所,北交所,软件开发
920640,富士达,北交所,北交所,通信设备
920693,阿为特,北交所,北交所,通用设备
920725,惠丰钻石,北交所,北交所,通用设备
920748,路桥信息,北交所,北交所,IT服务Ⅱ
920779,武汉蓝电,北交所,北交所,电池
920799,艾融软件,北交所,北交所,软件开发
920839,万通液压,北交所,北交所,工程机械
920953,国子软件,北交所,北交所,IT服务Ⅱ
920971,天马新材,北交所,北交所,非金属材料Ⅱ
920976,视声智能,北交所,北交所,计算机设备
