锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期,市场未来5日上涨比例,实际市场方向,实际市场状态,恐慌释放特征,过热回落风险特征,弱势延续风险特征,当日上涨比例,当日平均涨跌幅,当日上涨比例_近5日变化,当日平均涨跌幅_近5日变化,上涨行业比例,行业强涨比例_1pct,行业强跌比例_1pct,行业强跌比例_1pct_近5日变化,连续上涨天数,连续弱势天数,上证指数_10日涨跌幅,上证指数_20日涨跌幅,上证指数_20日位置,沪深300_20日涨跌幅,沪深300_20日位置,中证500_20日涨跌幅,中证500_20日位置,中证1000_20日涨跌幅,中证1000_20日位置,5日后的实际涨跌幅,行业平均涨跌幅,行业上涨比例,个股强于行业,距上个交易日自然天数,星期几,是否周一,是否长假后首日,长假后第几个交易日,是否长假后三日内,是否长假后五日内,是否噪声样本,市场风险标签,原始预测涨跌,原始预测是否准确,完整规则修正原因,修正原因,修正后预测涨跌,修正后预测是否准确,是否发生修正
2025-10-09,35401,core_v14,52,2025-10-09,603072,天和磁材,金属新材料,47.76,49.66,49.66,47.69,6524330.0,318748663.36,4.17,5.2119,9.8749,0.492089507375701,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0014095851792185,4.3115,1.0,0.9004000000000003,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,002937,兴瑞科技,汽车零部件,19.17,19.68,20.19,19.16,11809187.0,234708006.48,5.38,2.8213,3.9768,0.4892166410959834,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0701219512195121,-1.0519947368421052,0.2631578947368421,3.873294736842105,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,600673,东阳光,综合Ⅱ,23.28,23.16,23.94,23.06,50154927.0,1177334305.11,3.78,-0.5155,1.671,0.4889564879765321,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0721070811744387,-0.5155,0.0,0.0,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,002841,视源股份,消费电子,39.11693608,40.05856744,40.05856744,39.11693608,7152660.0,289615582.45,2.41,2.6131,1.372,0.4883872118729649,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0893731635651321,2.14304,0.6,0.4700600000000001,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,600938,中国海油,油气开采Ⅱ,25.35015231,25.79848257,25.80822888,25.31116707,44343458.0,1163695151.2,1.95,1.3012,1.4831,0.4870337949930557,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0022667170381563,1.3012,1.0,0.0,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,603659,璞泰来,电池,30.9004313,30.59242057,31.14882705,29.62864506,87669387.0,2677898891.85,4.95,-0.4204,4.1036,0.4840882217559867,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.1256901591425788,3.3920333333333335,0.6666666666666666,-3.812433333333334,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,600038,中直股份,航空装备Ⅱ,36.24,36.17,36.24,35.82,9300025.0,335469032.07,1.16,-0.1932,1.3903,0.4838607073974552,0.345,上涨,上涨,1,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,0.0121647774398672,-0.2623999999999999,0.2,0.0691999999999999,9.0,4,0,1,1,1,1,True,常规环境,上涨,1,不修正,不修正,上涨,1,0
2025-10-09,35401,core_v14,52,2025-10-09,600547,山东黄金,贵金属,42.1056315,43.0612203,43.0612203,41.80701,68591661.0,2954765909.43,3.2,9.9924,1.8977,0.4828029755680342,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0783633841886269,9.387266666666669,1.0,0.6051333333333329,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,605058,澳弘电子,元件,29.63,30.2,30.55,29.63,4153599.0,125169879.1,3.1,1.9237,2.9062,0.4821714500212694,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0649006622516557,1.6005285714285713,0.8571428571428571,0.3231714285714286,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,603556,海兴电力,电网设备,27.85,28.66,28.76,27.72,7618961.0,215075584.18,3.74,2.9454,1.5668,0.4808027863948235,0.345,上涨,上涨,1,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,0.0345429169574318,1.3875666666666666,0.7777777777777778,1.5578333333333332,9.0,4,0,1,1,1,1,False,常规环境,上涨,1,不修正,不修正,上涨,1,0
