日期,代码,名称,行业,板块,开盘,收盘,最高,最低,成交量,成交额,涨跌幅,振幅,换手率,卖出日,5日后的实际涨跌幅,数据质量问题,是否硬异常,是否软异常
2025-04-23,603319,美湖股份,汽车零部件,沪市主板,22.2260214,23.94171428,23.94171428,21.99206328,27412581.0,900891599.05,10.0,8.96,11.3158,2025-04-30,0.1368078175895766,接近涨停极端行情,0,1
2025-04-23,605133,嵘泰股份,汽车零部件,沪市主板,21.9501975,23.873234,23.873234,21.91189,8496565.0,256237082.36,9.9894,9.04,4.5948,2025-04-30,0.2188703465982027,接近涨停极端行情,0,1
2025-04-24,002891,中宠股份,饲料,深市主板,47.53987044,53.12694848,53.12694848,47.33110062,11967650.0,622063481.39,10.0041,12.0,4.0566,2025-05-06,0.0662425149700598,接近涨停极端行情,0,1
2025-04-24,605133,嵘泰股份,汽车零部件,沪市主板,24.3099395,26.2406375,26.263622,24.011141,13409816.0,447693216.59,9.9166,9.44,7.2517,2025-05-06,0.2198540145985401,接近涨停极端行情,0,1
2025-04-25,001255,博菲电气,塑料,深市主板,25.80578784,28.13270292,28.13270292,23.968224,5602389.0,149782392.13,9.9961,16.28,28.0119,2025-05-07,-0.0010649627263046,接近涨停极端行情,0,1
2025-04-25,002134,天津普林,元件,深市主板,17.09,18.99,18.99,17.09,11228800.0,207511369.0,10.0232,11.01,4.5673,2025-05-07,-0.0205371248025274,接近涨停极端行情,0,1
2025-04-25,002261,拓维信息,软件开发,深市主板,27.75,30.43,30.43,27.75,191791801.0,5650183087.25,10.0145,9.69,16.8232,2025-05-07,0.1206046664475846,接近涨停极端行情,0,1
2025-04-25,603280,南方路机,工程机械,沪市主板,22.4134887,24.60041188,24.60041188,22.23536826,6442163.0,155192318.8,10.0,10.58,23.0558,2025-05-07,0.0221238938053096,接近涨停极端行情,0,1
2025-04-25,603322,超讯通信,通信服务,沪市主板,36.51,33.47,37.2,33.47,11722040.0,406296290.6,-10.0027,10.03,7.4385,2025-05-07,0.009262025694652,接近跌停极端行情,0,1
2025-04-29,003017,大洋生物,化学原料,深市主板,22.509509,25.417436,25.417436,22.509509,8752150.0,220275835.2,10.0,12.58,12.6552,2025-05-09,-0.0608628659476117,接近涨停极端行情,0,1
2025-04-29,603255,鼎际得,化学制品,沪市主板,21.57,23.96,23.96,21.35,3839842.0,88406402.1,10.0092,11.98,6.3285,2025-05-09,0.0287979966611018,接近涨停极端行情,0,1
2025-04-29,603261,*ST立航,航空装备Ⅱ,沪市主板,15.34,15.34,15.34,15.34,106800.0,1638312.0,-5.0155,0.0,0.1378,2025-05-09,0.1544980443285528,接近跌停极端行情,0,1
2025-04-29,603816,顾家家居,家居用品,沪市主板,22.76250496,23.75753536,23.75753536,22.76250496,17012267.0,418757146.63,10.0044,4.61,2.0947,2025-05-09,-0.0031910650179497,接近涨停极端行情,0,1
2025-04-30,002422,科伦药业,化学制药,深市主板,30.98141672,35.12326548,35.12326548,30.85531828,41984799.0,1445712888.97,9.9939,13.37,3.2151,2025-05-12,-0.0803645401822701,接近涨停极端行情,0,1
2025-04-30,002436,兴森科技,元件,深市主板,11.39071912,12.48789872,12.48789872,11.33087296,117091410.0,1412869489.94,10.0176,10.19,7.8039,2025-05-12,0.0183706070287539,接近涨停极端行情,0,1
2025-04-30,002730,电光科技,专用设备,深市主板,15.6828904,15.6828904,15.6828904,15.6828904,6688980.0,105685884.0,10.0279,0.0,1.9331,2025-05-12,0.090506329113924,接近涨停极端行情,0,1
2025-04-30,002933,新兴装备,航空装备Ⅱ,深市主板,32.94975642,34.31891524,34.31891524,32.4300757,12267700.0,413427213.0,9.9936,6.05,10.7543,2025-05-12,0.0675596971461851,接近涨停极端行情,0,1
2025-04-30,002965,祥鑫科技,汽车零部件,深市主板,38.04084614,41.06491821,41.06491821,37.4009921,18381963.0,945451932.67,9.998,9.81,11.9829,2025-05-12,0.0947876089779262,接近涨停极端行情,0,1
2025-04-30,603261,*ST立航,航空装备Ⅱ,沪市主板,14.57,14.57,14.57,14.57,575700.0,8387949.0,-5.0196,0.0,0.7428,2025-05-12,0.2765957446808511,接近跌停极端行情,0,1
2025-04-30,603322,超讯通信,通信服务,沪市主板,31.22,32.23,32.23,30.89,11411244.0,359183162.12,10.0,4.57,7.2412,2025-05-12,0.0505739993794602,接近涨停极端行情,0,1
2025-04-30,603489,八方股份,电机Ⅱ,沪市主板,24.29729361,26.71805718,26.71805718,24.29729361,6610996.0,170858024.4,10.0082,9.97,2.813,2025-05-12,0.0652498135719612,接近涨停极端行情,0,1
2025-04-30,603556,海兴电力,电网设备,沪市主板,27.820936,25.7197744,27.820936,25.7197744,17761350.0,477551502.11,-10.0068,7.35,3.6526,2025-05-12,0.0351739788199698,接近跌停极端行情,0,1
2025-04-30,603813,*ST原尚,物流,沪市主板,10.48,11.57,11.57,10.48,3511926.0,38960978.87,4.9909,9.89,3.9047,2025-05-12,0.1970613656006914,接近涨停极端行情,0,1
2025-04-30,605133,嵘泰股份,汽车零部件,沪市主板,26.432175,29.098377,29.098377,26.2406375,9464617.0,348532859.56,9.9913,10.8,5.1183,2025-05-12,0.0716166403370195,接近涨停极端行情,0,1
2025-04-30,920199,倍益康,小家电,北交所,23.07,29.19,29.19,23.07,86980.0,235830839.18,29.96,27.25,23.38,2025-05-12,0.0178143199725933,接近涨停极端行情,0,1
2025-05-06,000062,深圳华强,其他电子Ⅱ,深市主板,25.203375,27.5283375,27.5283375,24.890775,64514151.0,1731125033.93,9.9922,10.54,6.174,2025-05-13,-0.0073013163254046,接近涨停极端行情,0,1
2025-05-06,002730,电光科技,专用设备,深市主板,17.25117944,17.25117944,17.25117944,17.25117944,4007700.0,69653826.0,10.0,0.0,1.1582,2025-05-13,-0.0276179516685846,接近涨停极端行情,0,1
2025-05-06,603072,天和磁材,金属新材料,沪市主板,49.11,53.03,53.03,49.11,22006025.0,1147391123.4,9.9979,8.13,33.9884,2025-05-13,-0.0188572506128607,接近涨停极端行情,0,1
2025-05-06,603261,*ST立航,航空装备Ⅱ,沪市主板,14.61,15.3,15.3,14.61,5365894.0,80108858.3,5.0103,4.74,6.9233,2025-05-13,0.2163398692810456,接近涨停极端行情,0,1
2025-05-06,603657,春光科技,家电零部件Ⅱ,沪市主板,16.980382,18.48863946,18.48863946,16.8305551,6418200.0,115746941.0,9.9822,9.86,4.7475,2025-05-13,0.3938411669367907,接近涨停极端行情,0,1
2025-05-06,603813,*ST原尚,物流,沪市主板,12.15,12.15,12.15,12.15,453104.0,5505213.6,5.013,0.0,0.5038,2025-05-13,0.139917695473251,接近涨停极端行情,0,1
2025-05-06,605133,嵘泰股份,汽车零部件,沪市主板,30.0407415,32.009747,32.009747,29.87985,11374432.0,462506172.99,10.0053,7.32,6.1511,2025-05-13,-0.002872187649593,接近涨停极端行情,0,1
2025-05-07,002190,成飞集成,汽车零部件,深市主板,17.6,18.41,18.41,17.32,22226182.0,396965174.0,9.9761,6.51,6.1958,2025-05-14,0.6110809342748507,接近涨停极端行情,0,1
2025-05-07,002730,电光科技,专用设备,深市主板,18.97828256,18.97828256,18.97828256,18.65072852,42288735.0,807895607.2,10.0115,1.9,12.2211,2025-05-14,-0.0277196652719665,接近涨停极端行情,0,1
2025-05-07,002977,*ST天箭,军工电子Ⅱ,深市主板,30.859384,33.10913264,33.10913264,30.1625592,7456609.0,237369458.58,9.9868,9.79,11.1927,2025-05-14,0.3905592303066747,接近涨停极端行情,0,1
2025-05-07,603261,*ST立航,航空装备Ⅱ,沪市主板,15.6,16.07,16.07,15.43,3822100.0,59967642.0,5.0327,4.18,4.9314,2025-05-14,0.2159303049159924,接近涨停极端行情,0,1
2025-05-07,603657,春光科技,家电零部件Ⅱ,沪市主板,19.1279009,20.33650456,20.33650456,18.86820094,7782281.0,156438544.4,9.9946,7.94,5.7565,2025-05-14,0.1542239685658153,接近涨停极端行情,0,1
2025-05-07,603813,*ST原尚,物流,沪市主板,12.76,12.76,12.76,12.76,253500.0,3234660.0,5.0206,0.0,0.2818,2025-05-14,0.0423197492163009,接近涨停极端行情,0,1
2025-05-08,000811,冰轮环境,通用设备,深市主板,8.97857612,9.78444324,9.78444324,8.97857612,58759459.0,736864114.48,10.0,9.06,7.8784,2025-05-15,0.0023310023310023,接近涨停极端行情,0,1
2025-05-08,002158,汉钟精机,通用设备,深市主板,17.0154183,18.41885155,18.41885155,16.87023555,16436585.0,304168924.77,10.0,9.25,3.0803,2025-05-15,-0.0289017341040461,接近涨停极端行情,0,1
2025-05-08,002190,成飞集成,汽车零部件,深市主板,20.25,20.25,20.25,19.55,35419972.0,711001595.79,9.9946,3.8,9.8737,2025-05-15,0.6113580246913581,接近涨停极端行情,0,1
2025-05-08,002977,*ST天箭,军工电子Ⅱ,深市主板,34.43309976,36.42402776,36.42402776,33.6466832,13133153.0,460455075.24,10.012,8.39,19.7135,2025-05-15,0.1451216179283956,接近涨停极端行情,0,1
2025-05-08,003019,宸展光电,光学光电子,深市主板,28.3905264,31.4552448,31.4552448,28.3905264,9331880.0,289086447.95,9.9931,10.72,5.5336,2025-05-15,-0.0538847117794486,接近涨停极端行情,0,1
2025-05-08,603261,*ST立航,航空装备Ⅱ,沪市主板,16.46,16.87,16.87,16.46,1934800.0,32368583.0,4.9782,2.55,2.4964,2025-05-15,0.1345583876704208,接近涨停极端行情,0,1
2025-05-08,603657,春光科技,家电零部件Ⅱ,沪市主板,21.76485434,22.3741504,22.3741504,21.4252467,4870940.0,107872786.0,10.0196,4.67,3.603,2025-05-15,0.0736607142857141,接近涨停极端行情,0,1
2025-05-08,603813,*ST原尚,物流,沪市主板,13.4,13.4,13.4,13.4,83900.0,1124260.0,5.0157,0.0,0.0933,2025-05-15,0.007462686567164,接近涨停极端行情,0,1
2025-05-09,001328,登康口腔,个护用品,深市主板,47.86373163,53.1600069,53.1600069,47.51853678,3485141.0,179526737.0,10.0,11.67,8.0968,2025-05-16,-0.0055658627087198,接近涨停极端行情,0,1
2025-05-09,002190,成飞集成,汽车零部件,深市主板,22.28,22.28,22.28,22.28,9860485.0,219691605.8,10.0247,0.0,2.7487,2025-05-16,0.6108617594254937,接近涨停极端行情,0,1
2025-05-09,002378,章源钨业,小金属,深市主板,7.14934227,7.8335373,7.8335373,7.14934227,84165897.0,644622230.85,10.0279,9.61,7.0426,2025-05-16,0.1139240506329115,接近涨停极端行情,0,1
2025-05-09,002842,翔鹭钨业,小金属,深市主板,7.26,8.02,8.02,7.26,49992497.0,393015521.54,10.0137,10.43,18.6218,2025-05-16,0.0673316708229427,接近涨停极端行情,0,1
2025-05-09,002977,*ST天箭,军工电子Ⅱ,深市主板,40.067426,40.067426,40.067426,38.325364,15049451.0,598282718.99,10.0027,4.78,22.5899,2025-05-16,0.0596273291925466,接近涨停极端行情,0,1
2025-05-09,603261,*ST立航,航空装备Ⅱ,沪市主板,17.71,17.71,17.71,17.71,402700.0,7131817.0,4.9793,0.0,0.5196,2025-05-16,0.0344438170525127,接近涨停极端行情,0,1
2025-05-09,603657,春光科技,家电零部件Ⅱ,沪市主板,22.3741504,24.61156544,24.61156544,21.51514284,23059566.0,547473024.86,10.0,13.84,17.0571,2025-05-16,-0.0588474025974025,接近涨停极端行情,0,1
2025-05-09,603813,*ST原尚,物流,沪市主板,14.0,14.07,14.07,13.4,4100233.0,56856955.3,5.0,5.0,4.5588,2025-05-16,-0.0483297796730632,接近涨停极端行情,0,1
2025-05-12,002190,成飞集成,汽车零部件,深市主板,24.29,24.51,24.51,23.51,33060629.0,802996950.79,10.009,4.49,9.216,2025-05-19,0.6107711138310892,接近涨停极端行情,0,1
2025-05-12,002977,*ST天箭,军工电子Ⅱ,深市主板,40.08733528,44.07914592,44.07914592,40.067426,11207684.0,482933238.11,10.0124,10.01,16.8233,2025-05-19,-0.0711382113821138,接近涨停极端行情,0,1
2025-05-12,603261,*ST立航,航空装备Ⅱ,沪市主板,18.6,18.6,18.6,18.6,247510.0,4603686.0,5.0254,0.0,0.3193,2025-05-19,0.0010752688172042,接近涨停极端行情,0,1
2025-05-12,603657,春光科技,家电零部件Ⅱ,沪市主板,24.6714962,27.0687266,27.0687266,23.472881,20658557.0,524003188.99,9.9838,14.61,15.2811,2025-05-19,-0.1752767527675277,接近涨停极端行情,0,1
2025-05-13,002190,成飞集成,汽车零部件,深市主板,26.96,26.96,26.96,26.96,3816709.0,102898474.64,9.9959,0.0,1.064,2025-05-20,0.5764094955489614,接近涨停极端行情,0,1
2025-05-13,002757,南兴股份,专用设备,深市主板,18.7077096,20.16111696,20.16111696,18.7077096,19147496.0,387115124.35,10.0214,7.93,6.7886,2025-05-20,-0.0214425381717541,接近涨停极端行情,0,1
2025-05-13,002977,*ST天箭,军工电子Ⅱ,深市主板,48.48905144,48.48905144,48.48905144,46.66735232,30803776.0,1487683558.17,10.0045,4.13,46.2379,2025-05-20,-0.1944159310203242,接近涨停极端行情,0,1
2025-05-14,001255,博菲电气,塑料,深市主板,29.48091552,32.59678464,32.59678464,29.03151132,4745580.0,144842853.8,10.0101,12.03,23.7279,2025-05-21,-0.0912990196078431,接近涨停极端行情,0,1
2025-05-14,002190,成飞集成,汽车零部件,深市主板,29.66,29.66,29.66,29.66,20025547.0,593957724.02,10.0148,0.0,5.5824,2025-05-21,0.289615643964936,接近涨停极端行情,0,1
2025-05-14,002730,电光科技,专用设备,深市主板,16.6754784,18.45221092,18.45221092,16.6754784,33526400.0,597779380.0,10.0,10.59,9.6889,2025-05-21,-0.0424959655728885,接近涨停极端行情,0,1
2025-05-14,002977,*ST天箭,军工电子Ⅱ,深市主板,48.5786432,46.04021,48.777736,45.293612,24137502.0,1129357164.68,-5.0503,7.19,36.2315,2025-05-21,-0.1610810810810812,接近跌停极端行情,0,1
2025-05-14,603261,*ST立航,航空装备Ⅱ,沪市主板,18.75,19.54,19.54,18.75,1655000.0,31961854.0,4.9973,4.25,2.1353,2025-05-21,-0.0148413510747185,接近涨停极端行情,0,1
2025-05-15,001328,登康口腔,个护用品,深市主板,49.46149065,54.78735405,54.78735405,48.33714171,6876094.0,365281293.37,10.0,12.95,15.9748,2025-05-22,-0.030963096309631,接近涨停极端行情,0,1
2025-05-15,002190,成飞集成,汽车零部件,深市主板,32.62,32.63,32.63,31.8,43383336.0,1409530759.05,10.0135,2.8,12.0936,2025-05-22,0.1140055163959545,接近涨停极端行情,0,1
2025-05-15,002977,*ST天箭,军工电子Ⅱ,深市主板,44.66646968,41.7099416,45.23388416,41.44116632,22915831.0,981133942.19,-9.4054,8.24,34.3977,2025-05-22,-0.0751789976133652,接近跌停极端行情,0,1
2025-05-16,002190,成飞集成,汽车零部件,深市主板,35.52,35.89,35.89,34.6,43926527.0,1562649637.82,9.9908,3.95,12.245,2025-05-23,-0.058233491223182,接近涨停极端行情,0,1
2025-05-16,002378,章源钨业,小金属,深市主板,7.84345317,8.7259656,8.7259656,7.79387382,95685944.0,814765544.2,10.0,11.75,8.0066,2025-05-23,-0.1090909090909091,接近涨停极端行情,0,1
