版本,月份,锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
core_v13,9月,2025-09-16,强下跌,常规环境,216,84,162,54,56,160,38.89%,168,65,38.69%,84,162,54,38.89%,65,38.69%
core_v13,9月,2025-09-17,普跌,常规环境,215,79,193,22,71,144,36.74%,153,56,36.60%,79,193,22,36.74%,56,36.60%
core_v13,9月,2025-09-18,普跌,恐慌释放高,215,91,206,9,90,125,42.33%,138,58,42.03%,91,206,9,42.33%,58,42.03%
core_v13,9月,2025-09-19,普跌,常规环境,215,82,199,16,80,135,38.14%,139,50,35.97%,82,199,16,38.14%,50,35.97%
core_v13,9月,2025-09-22,普跌,常规环境,215,93,203,12,89,126,43.26%,135,60,44.44%,93,203,12,43.26%,60,44.44%
core_v13,9月,2025-09-23,震荡,恐慌释放高,215,118,212,3,117,98,54.88%,130,79,60.77%,118,212,3,54.88%,79,60.77%
core_v13,9月,2025-09-24,震荡,常规环境,215,102,213,2,102,113,47.44%,141,73,51.77%,102,213,2,47.44%,73,51.77%
core_v13,9月,2025-09-25,震荡,常规环境,215,120,198,17,113,102,55.81%,146,81,55.48%,120,198,17,55.81%,81,55.48%
core_v13,9月,2025-09-26,震荡,常规环境,215,110,209,6,106,109,51.16%,151,82,54.30%,110,209,6,51.16%,82,54.30%
core_v13,9月,2025-09-29,普跌,常规环境,215,96,209,6,92,123,44.65%,164,68,41.46%,96,209,6,44.65%,68,41.46%
core_v13,9月,2025-09-30,震荡,常规环境,216,115,160,56,99,117,53.24%,150,78,52.00%,115,160,56,53.24%,78,52.00%
core_v13,10月,2025-10-09,普跌,常规环境,216,87,148,68,69,147,40.28%,154,60,38.96%,87,148,68,40.28%,60,38.96%
core_v13,10月,2025-10-10,强下跌,常规环境,216,52,196,20,44,172,24.07%,172,37,21.51%,46,202,14,21.30%,32,18.60%
core_v13,10月,2025-10-13,强下跌,常规环境,216,139,59,157,60,156,64.35%,155,99,63.87%,139,59,157,64.35%,99,63.87%
core_v13,10月,2025-10-14,震荡,恐慌释放高,216,109,209,7,108,108,50.46%,130,62,47.69%,109,209,7,50.46%,62,47.69%
core_v13,10月,2025-10-15,强下跌,常规环境,216,72,202,14,60,156,33.33%,149,48,32.21%,72,202,14,33.33%,48,32.21%
core_v13,10月,2025-10-16,普跌,弱势延续高,216,82,212,4,78,138,37.96%,146,58,39.73%,82,212,4,37.96%,58,39.73%
core_v13,10月,2025-10-17,强上涨,恐慌释放高+弱势延续高,216,172,214,2,170,46,79.63%,135,116,85.93%,46,0,216,21.30%,20,14.81%
core_v13,10月,2025-10-20,强上涨,弱势延续高,215,168,215,0,168,47,78.14%,144,120,83.33%,168,215,0,78.14%,120,83.33%
core_v13,10月,2025-10-21,普涨,常规环境,215,140,196,19,137,78,65.12%,118,83,70.34%,140,196,19,65.12%,83,70.34%
core_v13,10月,2025-10-22,强上涨,常规环境,215,165,213,2,163,52,76.74%,151,128,84.77%,165,213,2,76.74%,128,84.77%
