特征,入选次数,平均相关性绝对值,平均方向一致率
当日平均振幅,9,0.095904280276978,1.0
当日大涨比例_3pct,9,0.09255215968271666,1.0
中证500_5日涨跌幅_均值_近3日斜率,9,0.08558151806024857,1.0
中证500_5日涨跌幅_均值_近5日变化,9,0.08298689103731909,1.0
行业强涨比例_1pct_近3日均值,9,0.07633674296322898,1.0
当日上涨比例_近10日均值,9,0.07358021887393065,1.0
沪深300_1日涨跌幅_均值,9,0.06931551382955364,1.0
下跌行业比例_近3日均值,9,0.0601092462084136,1.0
下跌行业比例_近10日均值,9,0.058255278429657574,1.0
涨跌扩散差_近3日斜率,9,0.05745987603550087,1.0
当日上涨比例_近5日均值,9,0.047112101126447134,1.0
当日强涨比例_5pct_近10日标准差,8,0.23043967919396344,1.0
当日平均涨跌幅_近5日变化,8,0.1594596320899194,1.0
当日平均换手率_近10日标准差,8,0.15025318165178517,1.0
ret_20_均值,8,0.1444974811976934,1.0
中证1000强于沪深300_5日,8,0.13958529600308034,1.0
当日平均成交量_近3日均值,8,0.1282349225970535,1.0
过热回落风险特征,8,0.12727977983057576,1.0
当日平均成交量,8,0.12665155262496158,1.0
当日成交额标准差,8,0.12520111183195903,1.0
当日平均成交量_近5日均值,8,0.12143925062127964,1.0
小盘强于中盘_5日_近5日变化,8,0.10544292099039491,1.0
中证500强于沪深300_5日_近10日均值,8,0.0991981860385292,1.0
中证500强于沪深300_5日_近5日均值,8,0.09483741203577736,1.0
行业强涨比例_1pct_近3日标准差,8,0.0945531972367213,1.0
当日涨跌幅25分位,8,0.08939657109767721,1.0
当日强涨比例_5pct_近5日变化,8,0.08364651753387924,1.0
行业强跌比例_1pct,8,0.0780209507420062,1.0
沪深300_5日涨跌幅_均值_近5日变化,8,0.0678305862524726,1.0
当日平均涨跌幅_近3日斜率,8,0.06761780505030922,1.0
当日上涨比例_近3日均值,8,0.06294227822312652,1.0
行业平均涨跌幅中位数,8,0.062437294841772205,1.0
行业强跌比例_1pct_近3日斜率,8,0.06210502107417772,1.0
上涨行业比例_近10日均值,8,0.05888368544781831,1.0
行业涨跌分化度_近3日斜率,8,0.058856797503022744,1.0
上涨行业比例_近3日均值,8,0.05733162900890489,1.0
下跌行业比例_近5日均值,8,0.056074488085738936,1.0
上涨行业比例_近5日均值,8,0.05512684757722182,1.0
极端涨跌差_近5日变化,8,0.05254664285067371,1.0
当日平均涨跌幅_近3日均值,8,0.03862798820977088,1.0
中证1000_5日涨跌幅_均值_近5日标准差,7,0.2616066797148057,1.0
当日强涨比例_5pct_近5日标准差,7,0.24639413845781158,1.0
当日平均涨跌幅_近10日标准差,7,0.21847750569930793,1.0
当日强涨比例_5pct_近10日均值,7,0.2062880401763179,1.0
当日强涨比例_5pct_近5日均值,7,0.20377470091642058,1.0
当日平均涨跌幅_近10日均值,7,0.1786011429231675,1.0
极端涨跌差_近10日均值,7,0.16006492459731736,1.0
volatility_10_均值,7,0.1473527975183129,1.0
vol_ratio_10_均值,7,0.14417480686353387,1.0
涨跌扩散差_近10日标准差,7,0.14222045526376384,1.0
当日平均换手率_近3日标准差,7,0.1422038405899334,1.0
当日大跌比例_3pct_近10日均值,7,0.1346108410818777,1.0
当日上涨比例_近10日最高,7,0.12395204769887584,1.0
当日上涨比例_近3日标准差,7,0.11147198736264961,1.0
行业强涨比例_1pct_近5日均值,7,0.10886551947161228,1.0
上涨行业比例_近3日标准差,7,0.09945773710481522,1.0
中证500强于沪深300_5日_近3日标准差,7,0.0988470981751507,1.0
下跌行业比例_近3日标准差,7,0.0980971369905608,1.0
连续上涨天数,7,0.09620868902403838,1.0
行业强跌比例_1pct_近5日变化,7,0.09084623922897898,1.0
当日平均成交量_近5日标准差,7,0.09067905733049594,1.0
中证1000强于沪深300_5日_近3日标准差,7,0.08748164797075382,1.0
当日大涨比例_3pct_近3日标准差,7,0.08673277001821009,1.0
行业强跌比例_1pct_近3日均值,7,0.08342885454843718,1.0
中证500强于沪深300_5日_近3日均值,7,0.08069123865633199,1.0
当日平均涨跌幅_近20日最低,7,0.07914291954510413,1.0
当日涨跌幅标准差_近3日标准差,7,0.07867582293540977,1.0
当日大涨比例_3pct_近5日变化,7,0.07325212799407686,1.0
涨跌扩散差_近5日变化,7,0.06584186802626618,1.0
当日平均涨跌幅_近5日均值,7,0.06529042192954226,1.0
当日强跌比例_5pct,7,0.06065747225511391,1.0
行业强涨比例_1pct,7,0.059622096679674094,1.0
当日下跌比例,7,0.05813402492723393,1.0
行业强涨比例_1pct_近10日均值,7,0.05785573248961658,1.0
当日大跌比例_3pct,7,0.05337246435709055,1.0
当日大跌比例_3pct_近3日斜率,7,0.0491746112920924,1.0
当日上涨比例_近3日斜率,7,0.046355350747769274,1.0
当日大跌比例_3pct_近5日变化,7,0.04436810663065854,1.0
当日涨跌幅偏度,7,0.04320195976894508,1.0
当日强跌比例_5pct_近5日变化,7,0.03338589949201105,1.0
当日涨跌幅标准差_近10日标准差,6,0.35313611613044865,1.0
当日涨跌幅标准差_近10日均值,6,0.3436701538788731,1.0
当日上涨比例_近10日标准差,6,0.17514734080048752,1.0
小盘强于中盘_5日_近10日均值,6,0.17480270675531814,1.0
股票数量,6,0.15998112611428902,1.0
上涨行业比例_近10日标准差,6,0.1454859668330329,1.0
行业强跌比例_1pct_近10日标准差,6,0.14195601535452373,1.0
中证500强于沪深300_5日_近10日标准差,6,0.1389500530913235,1.0
下跌行业比例_近10日标准差,6,0.13800243029354256,1.0
行业涨跌分化度_近5日标准差,6,0.13327747430036077,1.0
中证1000强于沪深300_5日_近3日均值,6,0.1305913598357076,1.0
amount_ratio_10_均值,6,0.1283557413341165,1.0
涨跌扩散差_近10日均值,6,0.12448881930711829,1.0
行业涨跌分化度_近10日均值,6,0.11984989065965597,1.0
小盘强于中盘_5日_近3日均值,6,0.1196132899260733,1.0
当日平均涨跌幅_近20日位置,6,0.11941139096119302,1.0
当日平均成交额_近3日斜率,6,0.11807259037079003,1.0
小盘强于中盘_5日_近5日均值,6,0.11730460662135934,1.0
涨跌扩散差_近5日均值,6,0.10538359118108087,1.0
行业强涨比例_1pct_近5日标准差,6,0.1012221244939378,1.0
当日上涨比例_近20日位置,6,0.10098551361130474,1.0
行业强涨比例_1pct_近5日变化,6,0.09210648727809412,1.0
当日上涨比例_近20日最低,6,0.08854514653215256,1.0
当日平均涨跌幅_近3日标准差,6,0.08743759157927816,1.0
连续弱势天数,6,0.08737989199983816,1.0
当日上涨比例_近5日变化,6,0.08707291171440407,1.0
当日平均成交额_近5日标准差,6,0.08634937218144884,1.0
当日大跌比例_3pct_近3日标准差,6,0.07960702023263304,1.0
涨跌扩散差_近3日均值,6,0.0742033367215467,1.0
上涨行业比例,6,0.07370860244831177,1.0
行业强跌比例_1pct_近5日均值,6,0.07370201880556465,1.0
下跌行业比例_近5日变化,6,0.07360988726842639,1.0
vol_ratio_5_均值,6,0.07355971931117768,1.0
上涨行业比例_近5日变化,6,0.07318493183389198,1.0
当日平均换手率_近3日斜率,6,0.07176474071737393,1.0
下跌行业比例,6,0.07108474228899885,1.0
当日平均振幅_近3日均值,6,0.06199698299354637,1.0
当日涨跌幅中位数,6,0.05855058385961801,1.0
当日涨跌幅标准差,6,0.05831790956061731,1.0
连续下跌天数,6,0.058311645056560356,1.0
全市场平均涨跌幅_均值,6,0.05684875135054462,1.0
当日平均涨跌幅,6,0.05684875135054462,1.0
行业平均涨跌幅_均值,6,0.05684875135054462,1.0
沪深300_5日涨跌幅_均值_近10日标准差,6,0.056532216189538693,1.0
全市场上涨比例_均值,6,0.056488976193834195,1.0
当日上涨比例,6,0.056488976193834195,1.0
行业上涨比例_均值,6,0.056488976193834195,1.0
当日大跌比例_3pct_近3日均值,6,0.05462953775359278,1.0
当日强涨比例_5pct_近3日斜率,6,0.05133790654314477,1.0
市场宽度价格背离,6,0.04770047676032487,1.0
上涨行业比例_近3日斜率,6,0.04263546356587115,1.0
当日大涨比例_3pct_近3日斜率,6,0.04119928403150584,1.0
下跌行业比例_近3日斜率,6,0.03818250037428693,1.0
行业强涨比例_1pct_近10日标准差,5,0.1673871994400766,1.0
中证1000强于沪深300_5日_近10日标准差,5,0.15843318092433395,1.0
中证1000_5日涨跌幅_均值_近10日标准差,5,0.14936743088247867,1.0
当日成交额中位数,5,0.14082867448687847,1.0
极端涨跌差_近10日标准差,5,0.13792388475944603,1.0
当日涨跌幅标准差_近5日标准差,5,0.12040683688001656,1.0
行业强跌比例_1pct_近5日标准差,5,0.1173924512203901,1.0
当日平均成交量_近10日标准差,5,0.11686408879642889,1.0
当日平均成交量_近3日斜率,5,0.11220111341850147,1.0
当日平均成交额_近10日标准差,5,0.11116648353848937,1.0
中证500_5日涨跌幅_均值_近10日均值,5,0.10697386187884812,1.0
ret_10_均值,5,0.10121876681492632,1.0
中证500强于沪深300_5日,5,0.09953202814357795,1.0
当日上涨比例_近5日最高,5,0.09791446811341967,1.0
当日平均振幅_近5日均值,5,0.08918062830398567,1.0
volatility_5_均值,5,0.08603686610025094,1.0
当日平均涨跌幅_近10日最低,5,0.08540356076790014,1.0
amp_mean_5_均值,5,0.08415203963675462,1.0
amount_ratio_5_均值,5,0.08254798742463007,1.0
个股强于中证1000_5日相对强弱_均值,5,0.0807143519410884,1.0
上证指数_1日涨跌幅_均值,5,0.079296174485896,1.0
中证1000强于沪深300_5日_近5日均值,5,0.07560691912640913,1.0
中证1000强于沪深300_5日_近10日均值,5,0.07502662798977845,1.0
中证1000强于沪深300_5日_近5日标准差,5,0.0741807565296763,1.0
当日强跌比例_5pct_近3日标准差,5,0.053749493600765176,1.0
行业强涨比例_1pct_近3日斜率,5,0.0517333808575147,1.0
当日上涨比例_近5日位置,5,0.05056345209525899,1.0
ret_1_均值,5,0.04824600238653089,1.0
当日平均涨跌幅_近5日位置,5,0.04459339100641154,1.0
极端涨跌差_近3日斜率,5,0.04188524894616289,1.0
当日强跌比例_5pct_近3日斜率,5,0.03698034045476588,1.0
小盘强于中盘_5日,4,0.20639228535793028,1.0
个股强于中证500_5日相对强弱_均值,4,0.16822806034348853,1.0
当日平均换手率_近5日均值,4,0.16378795291863835,1.0
当日成交量中位数,4,0.15186315726744776,1.0
当日平均换手率_近3日均值,4,0.14803830161188786,1.0
极端涨跌差,4,0.10665271956306052,1.0
沪深300_5日涨跌幅_均值_近3日斜率,4,0.10356709756036872,1.0
当日平均涨跌幅_近10日位置,4,0.10343578509980737,1.0
当日平均成交量_近5日变化,4,0.0943480541990717,1.0
中证1000_5日涨跌幅_均值,4,0.08828915075006763,1.0
当日涨跌幅标准差_近5日均值,4,0.0845071239505774,1.0
涨跌扩散差_近3日标准差,4,0.06278838064419137,1.0
涨跌扩散差,4,0.05980707594191634,1.0
ret_3_均值,4,0.056272755203841576,1.0
当日涨跌幅75分位,4,0.04761674422518379,1.0
当日上涨比例_近10日位置,4,0.03165114757067524,1.0
极端涨跌差_近5日标准差,3,0.13201965539457083,1.0
当日强跌比例_5pct_近10日均值,3,0.11638019593102074,1.0
当日强跌比例_5pct_近3日均值,3,0.10893998492208114,1.0
中证500_5日涨跌幅_均值_近5日均值,3,0.1006210047219697,1.0
当日平均成交额_近5日变化,3,0.1004690117280632,1.0
当日强跌比例_5pct_近5日均值,3,0.09631143752624616,1.0
当日接近涨停比例,3,0.09622661799444072,1.0
中证500_5日涨跌幅_均值_近10日标准差,3,0.08772376155759494,1.0
上证指数_5日涨跌幅_均值,3,0.08419542795132114,1.0
中证500_5日涨跌幅_均值,3,0.08240638736836187,1.0
当日上涨比例_近10日最低,3,0.0740040362412355,1.0
行业涨跌分化度_近5日变化,3,0.07292595872502992,1.0
行业涨跌分化度_近10日标准差,3,0.06931082355027543,1.0
ret_5_均值,3,0.06873072243041888,1.0
当日平均振幅_近3日标准差,3,0.0641154038233659,1.0
当日大跌比例_3pct_近5日均值,3,0.057260772667140504,1.0
中证500强于沪深300_5日_近5日标准差,2,0.11673860442853354,1.0
当日平均涨跌幅_近5日标准差,2,0.11577356381697401,1.0
行业强跌比例_1pct_近10日均值,2,0.10273393476078078,1.0
当日平均振幅_近5日变化,2,0.08874367697731543,1.0
中证1000_5日涨跌幅_均值_近5日均值,2,0.08159638149922643,1.0
range_pos_20_均值,2,0.07976989351778602,1.0
当日平均成交量_近3日标准差,2,0.07965238568693604,1.0
涨跌扩散差_近5日标准差,2,0.07946725712775503,1.0
当日平均振幅_近5日标准差,2,0.03517137299219218,1.0
当日上涨比例_近5日标准差,1,0.10842760888579987,1.0
中证500_5日涨跌幅_均值_近3日均值,1,0.10426555754980238,1.0
当日强跌比例_5pct_近10日标准差,1,0.094344919405826,1.0
沪深300_5日涨跌幅_均值,1,0.08510676293481956,1.0
当日平均振幅_近3日斜率,1,0.06416008270876815,1.0
中证1000_5日涨跌幅_均值_近10日均值,1,0.05976532691621186,1.0
中证1000_5日涨跌幅_均值_近3日均值,1,0.047199981067253205,1.0
当日大跌比例_3pct_近5日标准差,1,0.041860239841174755,1.0
行业强跌比例_1pct_近3日标准差,1,0.0331186701324545,1.0
恐慌释放特征,1,0.031349081348569084,1.0
沪深300_5日涨跌幅_均值_近3日均值,1,0.022444995702435373,1.0
