代码,名称,行业,板块,交易所,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
603895,天永智能,专用设备,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
605566,福莱蒽特,化学制品,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
920748,路桥信息,IT服务Ⅱ,北交所,北交所,260,0,5,260,4,0.015620094191522764,0.0,0.019230769230769232
600176,中国巨石,玻璃玻纤,沪市主板,上交所,261,0,4,261,4,0.01577708006279435,0.0,0.01532567049808429
600206,有研新材,半导体,沪市主板,上交所,261,0,4,261,4,0.01577708006279435,0.0,0.01532567049808429
603068,博通集成,半导体,沪市主板,上交所,261,0,4,261,4,0.01577708006279435,0.0,0.01532567049808429
000063,中兴通讯,通信设备,深市主板,深交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
002380,科远智慧,IT服务Ⅱ,深市主板,深交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
600096,云天化,农化制品,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
600114,东睦股份,通用设备,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
600520,三佳科技,专用设备,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
601168,西部矿业,工业金属,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
603220,中贝通信,通信服务,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
603319,美湖股份,汽车零部件,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
603350,安乃达,电机Ⅱ,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
603678,火炬电子,军工电子Ⅱ,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
605258,协和电子,元件,沪市主板,上交所,261,0,4,261,4,0.015698587127158554,0.0,0.01532567049808429
920199,倍益康,小家电,北交所,北交所,260,0,4,260,4,0.015698587127158554,0.0,0.015384615384615385
001220,世盟股份,物流,深市主板,深交所,63,0,3,63,4,0.06550362080315998,0.0,0.047619047619047616
603014,威高血净,医疗器械,沪市主板,上交所,230,0,3,230,4,0.017823723375813207,0.0,0.013043478260869565
003019,宸展光电,光学光电子,深市主板,深交所,261,0,3,261,4,0.01577708006279435,0.0,0.011494252873563218
000935,四川双马,多元金融,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
001229,魅视科技,计算机设备,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
001311,多利科技,汽车零部件,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002864,盘龙药业,中药Ⅱ,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002891,中宠股份,饲料,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002895,川恒股份,农化制品,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002899,英派斯,文娱用品,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002956,西麦食品,休闲食品,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002965,祥鑫科技,汽车零部件,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
002988,豪美新材,工业金属,深市主板,深交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
600605,汇通能源,一般零售,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
600885,宏发股份,电网设备,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
601877,正泰电器,电网设备,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
603194,中力股份,工程机械,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
603255,鼎际得,化学制品,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
603556,海兴电力,电网设备,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
603722,阿科力,化学制品,沪市主板,上交所,261,0,3,261,4,0.015698587127158554,0.0,0.011494252873563218
920078,族兴新材,金属新材料,北交所,北交所,38,0,2,38,4,0.10687432867883996,0.0,0.05263157894736842
603352,至信股份,汽车零部件,沪市主板,上交所,76,0,2,76,4,0.054149659863945585,0.0,0.02631578947368421
603376,大明电子,汽车零部件,沪市主板,上交所,124,0,2,124,4,0.03301808528289365,0.0,0.016129032258064516
603406,天富龙,化学纤维,沪市主板,上交所,182,0,2,182,4,0.022550456646747097,0.0,0.01098901098901099
603082,北自科技,自动化设备,沪市主板,上交所,261,0,2,261,4,0.01577708006279435,0.0,0.007662835249042145
000338,潍柴动力,汽车零部件,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
000807,云铝股份,工业金属,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
001279,强邦新材,包装印刷,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
001328,登康口腔,个护用品,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
002396,星网锐捷,通信设备,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
002422,科伦药业,化学制药,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
002430,杭氧股份,化学制品,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
002937,兴瑞科技,汽车零部件,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
002978,安宁股份,小金属,深市主板,深交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
600685,中船防务,航海装备Ⅱ,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
600779,水井坊,白酒Ⅱ,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
600938,中国海油,油气开采Ⅱ,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
603173,福斯达,专用设备,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
603198,迎驾贡酒,白酒Ⅱ,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
603312,西典新能,电网设备,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
603355,莱克电气,小家电,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
603383,顶点软件,软件开发,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
603867,新化股份,化学制品,沪市主板,上交所,261,0,2,261,4,0.015698587127158554,0.0,0.007662835249042145
