交易所,板块,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,振幅,时间戳,行业,原始代码,数据源
深交所,深市主板,002352,顺丰控股,35.85,-0.37999999999999545,-1.0488545404360903,36.23,36.18,36.21,35.75,21591174.0,775454932.88,1.2696660226331793,2026-05-15 15:00:00,物流,sz002352,sina_snapshot
深交所,深市主板,002378,章源钨业,30.26,-1.4499999999999993,-4.572690003153577,31.71,31.51,31.64,30.03,53426525.0,1631668754.02,5.077262693156731,2026-05-15 15:00:00,小金属,sz002378,sina_snapshot
深交所,深市主板,002380,科远智慧,42.18,3.6000000000000014,9.331259720062214,38.58,39.84,42.44,39.84,33733246.0,1408697689.61,6.739243131156025,2026-05-15 15:00:00,IT服务Ⅱ,sz002380,sina_snapshot
深交所,深市主板,002396,星网锐捷,31.26,0.010000000000001563,0.032000000000005004,31.25,31.43,32.82,31.0,36232004.0,1157945375.67,5.824000000000001,2026-05-15 15:00:00,通信设备,sz002396,sina_snapshot
深交所,深市主板,002402,和而泰,31.35,-0.509999999999998,-1.6007532956685437,31.86,31.9,32.66,31.08,43269709.0,1374739172.91,4.959196484620208,2026-05-15 15:00:00,家电零部件Ⅱ,sz002402,sina_snapshot
深交所,深市主板,002407,多氟多,36.47,3.3200000000000003,10.015082956259429,33.15,35.12,36.47,35.12,154367984.0,5604165250.82,4.072398190045253,2026-05-15 15:00:00,化学制品,sz002407,sina_snapshot
深交所,深市主板,002415,海康威视,33.12,-0.3300000000000054,-0.9865470852018098,33.45,33.63,34.08,33.02,61854638.0,2073595063.09,3.1689088191330197,2026-05-15 15:00:00,计算机设备,sz002415,sina_snapshot
深交所,深市主板,002422,科伦药业,31.38,-0.010000000000001563,-0.03185727938834521,31.39,31.33,31.88,31.03,10097323.0,317595457.99,2.7078687480089134,2026-05-15 15:00:00,化学制药,sz002422,sina_snapshot
深交所,深市主板,002430,杭氧股份,29.97,-0.2900000000000027,-0.9583608724388721,30.26,30.26,30.75,29.46,22429695.0,669922236.08,4.263053536021147,2026-05-15 15:00:00,化学制品,sz002430,sina_snapshot
深交所,深市主板,002436,兴森科技,31.49,-1.2200000000000024,-3.729746254967907,32.71,33.01,33.87,31.14,137044010.0,4410497925.28,8.346071537756028,2026-05-15 15:00:00,元件,sz002436,sina_snapshot
深交所,深市主板,002444,巨星科技,34.7,0.0,0.0,34.7,34.7,35.29,34.32,11728292.0,408913416.98,2.795389048991351,2026-05-15 15:00:00,通用设备,sz002444,sina_snapshot
深交所,深市主板,002552,宝鼎科技,32.13,-1.7199999999999989,-5.081240768094531,33.85,33.68,34.0,31.84,39205374.0,1276129157.68,6.381093057607091,2026-05-15 15:00:00,元件,sz002552,sina_snapshot
深交所,深市主板,002558,巨人网络,30.12,-0.7899999999999991,-2.5558071821416988,30.91,31.0,31.29,29.7,63871033.0,1935442262.29,5.143966353930766,2026-05-15 15:00:00,游戏Ⅱ,sz002558,sina_snapshot
深交所,深市主板,002580,圣阳股份,28.19,-3.129999999999999,-9.993614303959127,31.32,29.67,30.29,28.19,105688471.0,3051621478.5,6.70498084291187,2026-05-15 15:00:00,电池,sz002580,sina_snapshot
深交所,深市主板,002655,共达电声,37.41,0.46999999999999886,1.272333513806169,36.94,36.52,38.51,36.2,48114406.0,1801647407.91,6.253383865728194,2026-05-15 15:00:00,消费电子,sz002655,sina_snapshot
深交所,深市主板,002730,电光科技,32.36,-0.6499999999999986,-1.969100272644649,33.01,32.68,34.12,31.84,20162240.0,662995618.2,6.9069978794304685,2026-05-15 15:00:00,专用设备,sz002730,sina_snapshot
深交所,深市主板,002757,南兴股份,31.95,-0.15000000000000213,-0.4672897196261749,32.1,31.8,32.78,31.52,19012451.0,611385678.38,3.925233644859818,2026-05-15 15:00:00,专用设备,sz002757,sina_snapshot
深交所,深市主板,002759,天际股份,36.43,0.759999999999998,2.1306419960751275,35.67,35.8,37.8,35.8,64776190.0,2399036253.66,5.60695262125035,2026-05-15 15:00:00,电池,sz002759,sina_snapshot
深交所,深市主板,002801,微光股份,33.06,0.9500000000000028,2.9585798816568136,32.11,32.12,33.89,32.04,3695095.0,122128900.65,5.761445032700098,2026-05-15 15:00:00,电机Ⅱ,sz002801,sina_snapshot
深交所,深市主板,002827,高争民爆,31.72,-0.120000000000001,-0.3768844221105559,31.84,31.87,32.53,31.6,3163710.0,101564229.9,2.920854271356783,2026-05-15 15:00:00,化学制品,sz002827,sina_snapshot
深交所,深市主板,002838,道恩股份,36.62,-0.5800000000000054,-1.559139784946251,37.2,37.44,38.0,36.28,9906746.0,368084846.61,4.6236559139784905,2026-05-15 15:00:00,塑料,sz002838,sina_snapshot
深交所,深市主板,002841,视源股份,38.99,0.14000000000000057,0.3603603603603618,38.85,39.0,39.63,38.56,6256944.0,244522791.28,2.754182754182755,2026-05-15 15:00:00,消费电子,sz002841,sina_snapshot
深交所,深市主板,002842,翔鹭钨业,36.43,-1.7100000000000009,-4.483481908757212,38.14,38.26,38.42,36.03,33998160.0,1249181839.4,6.266386995280547,2026-05-15 15:00:00,小金属,sz002842,sina_snapshot
深交所,深市主板,002864,盘龙药业,30.75,-0.23000000000000043,-0.7424144609425449,30.98,30.96,31.1,30.42,1736500.0,53381576.0,2.1949644932214323,2026-05-15 15:00:00,中药Ⅱ,sz002864,sina_snapshot
